   ;Código;Cód Barras;Preço de Venda
;000299;SEM GTIN;1,0000
;002752;7896603804915;22,9900
;001566;7896603804250;41,9900
;001904;7896603846267;5,9900
;000687;7896603802515;7,9900
;001298;7896603879067;16,4000
;001884;7896603899911;26,7800
;001885;7896603850233;26,9900
;001289;7898031548805;45,3200
;001759;7898530461186;13,5900
;001761;7898025460373;95,6900
;001760;7898025460366;20,0000
;001590;7899917155780;260,9900
;001589;7899917155742;54,9900
;001592;7899917155711;107,7900
;001591;7899917155698;21,3000
;001686;7898530467539;429,9900
;001687;7898530467515;164,9900
;001604;7899917156107;59,9900
;001616;7899917153410;226,4900
;002040;7899917152192;20,0000
;002045;7899917152215;22,0000
;002046;7899917152239;22,0000
;002047;7899917152253;22,0000
;002048;7899917152352;22,0000
;002049;7899917152437;22,0000
;002050;7899917152451;22,0000
;002051;7899917152475;22,0000
;002062;7899917152697;22,0000
;002052;7899917152277;22,0000
;002053;7899917152499;22,0000
;002054;7899917152819;22,0000
;002055;7899917152512;22,0000
;002071;7899917152291;22,0000
;002056;7899917152536;22,0000
;002057;7899917152314;22,0000
;002058;7899917152338;22,0000
;002059;7899917152833;22,0000
;002060;7899917152376;22,0000
;002063;7899917152857;22,0000
;002061;7899917152550;22,0000
;001615;7899917153359;191,9900
;001606;7899917156015;53,9900
;001613;7899917153335;143,6900
;001608;7899917155988;44,6900
;001614;7899917156565;191,9900
;001609;7899917156541;53,0000
;001611;7899917153373;176,3900
;001607;7899917156046;53,0900
;001618;7899917153397;155,9500
;001610;7899917156077;44,6900
;001612;7899917156510;176,6900
;001605;7899917156497;53,0000
;002069;7899917125981;44,4900
;001757;7898025460298;159,9000
;001756;7898025465392;32,9200
;001753;7899917147631;81,3500
;001752;7899917147594;17,6500
;001819;7898025460069;328,1400
;001755;7898025460052;94,8900
;001754;7898025464180;19,7500
;001758;7898025464203;21,8000
;001596;7899917153434;137,5900
;001594;7899917155896;51,4000
;001595;7899917153311;125,0000
;001593;7899917155865;40,4900
;001601;7899917153458;133,2000
;001598;7899917155926;45,1900
;001603;7899917155667;133,2000
;001599;7899917155643;35,3900
;001602;7899917153472;130,0000
;001597;7899917155957;43,0000
;000832;7895315000202;29,0000
;001035;7898464735629;46,9000
;001036;7898464735636;78,9000
;001534;7896380108497;2,0000
;000161;7896380101481;40,6900
;000175;7896380154401;82,6500
;000124;7896380101443;44,8500
;000185;SEM GTIN;1,0000
;001868;7896380192526;27,8900
;001456;7896380109593;67,3100
;001870;7896380192694;30,4900
;001455;7896380194889;13,1600
;001354;7896380192625;18,8000
;001864;7896003811407;97,3600
;000155;7896380131068;2,0000
;000156;7896380131075;13,6500
;001834;7896003894677;35,4700
;001454;7896380192557;41,7700
;001631;7896380103249;55,1800
;001869;7896380100729;50,5600
;000159;SEM GTIN;1,0000
;001340;7896380190621;110,2400
;001346;7896380154128;39,9800
;001931;7896380153343;69,1300
;001633;7896003894387;30,8000
;001632;7896380154074;54,9800
;000121;7896380191567;2,0000
;001329;7896380191192;61,1000
;000122;7896380101924;200,0000
;001348;7896380173556;117,2800
;001350;7896003894639;33,9300
;001328;7896003894646;35,0200
;001262;7896003894899;112,1600
;001261;7896003894882;83,4500
;001347;7896003897487;194,0800
;001170;7896003894769;109,8100
;000120;7896380191642;30,1200
;001264;7896380191123;31,3700
;000181;7896003894776;146,2900
;000176;SEM GTIN;1,0000
;001263;7896380191635;15,0700
;000200;7896003896411;18,3300
;001464;7896003896374;15,5700
;000203;7896003896381;18,3300
;001461;7896003896343;15,5700
;000202;7896003896398;18,3300
;001462;7896003896350;15,5700
;000201;7896003896404;18,3300
;001463;7896003896367;15,5700
;001634;7896380109838;5,2400
;001635;7896380109845;5,2400
;001636;7896380109852;4,8400
;001637;7896380109760;4,8400
;001457;7896380107308;7,9000
;001326;7896380173167;27,3200
;001327;7896380173174;31,5200
;001452;7896003896336;39,9500
;001649;7896380173136;19,7900
;001324;7896380173143;21,8900
;001325;7896380173150;22,6500
;001453;7896380173471;63,3200
;001643;7896380100880;46,3600
;001252;7896380173112;42,2100
;001253;7896380173464;49,6800
;001914;7896380173099;29,6300
;001251;7896380173105;33,4600
;000283;7896380191628;19,0000
;000284;7896380190799;21,5100
;000280;7896380190782;12,8400
;000281;7896380191604;13,5700
;000282;7896380191611;15,5000
;001639;7896380108725;27,9000
;001640;7896380109685;33,8000
;001642;7896380108701;24,7200
;001641;7896380108718;25,4500
;000178;SEM GTIN;1,0000
;000204;7896380197101;41,6800
;001528;7896380109777;47,7700
;001529;7896380109753;67,9900
;001265;7896380150380;30,0400
;000303;7896380190850;4,2900
;001470;7896380193721;6,3000
;001469;7896380193714;6,4800
;000304;7896380191819;4,3600
;000305;7896380190867;8,2700
;001525;7896380193769;5,4800
;001524;7896380193752;6,4800
;001526;7896380104352;64,7700
;001638;7896380104369;73,2000
;001527;7896380104345;58,0900
;001822;7896380108671;21,8100
;001817;7896380191185;12,4400
;000132;7896380173310;1.250,0000
;000311;7896380150397;41,5700
;001862;7896380109708;39,3700
;001437;7896380170586;28,7700
;001436;7896380170999;46,6900
;000129;7896380170449;41.699,0000
;001659;7896380104314;187,0200
;001658;7896003894530;158,6500
;001660;7896380104307;327,1300
;001431;7896380150182;79,1000
;001333;7896003895032;11,0000
;001331;7896003895056;14,3800
;001332;7896003895049;15,0800
;001330;7896003895063;13,3500
;000166;SEM GTIN;1,0000
;000167;7896380101863;2,0000
;000168;SEM GTIN;1,0000
