Produto;Código;Fabricante;Família;Saldo em Qtde; ;Situação;NCM;Classe de Tributação
LIXA DE MASSA 220 - NORTON FOLH 19.99.165;002620;;;200;UN;Ativo;68052000;
LIXA DE MASSA 120 - NORTON FOLH 19.99.150;002617;;;100;UN;Ativo;68052000;
LIXA DE MASSA 150 - NORTON FOLH 19.99.155;002618;;;100;UN;Ativo;68052000;
LIXA DE MASSA 100 - NORTON FOLH 19.99.145;002616;Norton;LIXAS;98;UN;Ativo;68052000;NÃO TRIBUTADO (CSOSN 400)
AGUA RAZ ITAQUA 0,9L 11.29.005;002527;;;72;QT;Ativo;27101230;
CORAL MASSA CORRIDA PVA 25KG;000516;;;50;LA;Ativo;32141020;NÃO TRIBUTADO (CSOSN 400)
LIXA DE MASSA 180 - NORTON FOLH 19.99.160;002619;;;50;UN;Ativo;68052000;
MASSA CORRIDA;002703;;;42;QT;Ativo;32141020;NÃO TRIBUTADO (CSOSN 400)
FUTURA MASSA CORRIDA PVA 1/4 QT 1,5 KG;001426;FUTURA;Complementos e Preparação;41;QT;Ativo;32141020;TRIBUTADO (CSOSN 102)
ADELBRAS FITA CREPE MASK 18 X 50 M;001904;ADELBRAS;Acessórios e Ferramentas;37;UN;Ativo;48114110;TRIBUTADO (CSOSN 102)
THINNER 37 ITAQUA 0,9L 11.29.030;002667;;;36;UN;Ativo;38140090;NÃO TRIBUTADO (CSOSN 400)
"TIGRE TRINCHA 500  1/2"" PC 18.50.645";002729;TIGRE;Utilidades;36;UN;Ativo;96034090;NÃO TRIBUTADO (CSOSN 400)
ADELBRAS FITA CREPE MASK 24 X 50 M;000687;;;35;UN;Ativo;48114110;NÃO TRIBUTADO (CSOSN 400)
CORAL RENDE MUITO BRANCO 18L;000557;Coral;TINTA ACRILICA;33;LA;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
ADELBRAS FITA CREPE MASK 48 X 50 M;001298;;;32;UN;Ativo;48114190;TRIBUTADO (CSOSN 102)
"DISCO LIXA VELCRO 5"" - GRAO 036 - 8 FUROS -  THOMPSON";002743;THOMPSON;LIXAS;30;UN;Ativo;68053020;NÃO TRIBUTADO (CSOSN 400)
"DISCO LIXA VELCRO 5"" - GRAO 040 - 8 FUROS -  THOMPSON";002742;Thompson;LIXAS;30;UN;Ativo;68053020;NÃO TRIBUTADO (CSOSN 400)
FUTURA ECOLOGICO B.AGUA ACETINADO PRETO 3,6 LT;001494;FUTURA;TINTA ESMALTE ;29;GL;Ativo;32091020;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / PRETO BRILHO 50540;002484;DSCOLOR;;29;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR ALTA TEMPERATURA 400ML / PRETO FOSCO 50509;002464;;;27;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SPRAY DSCOLOR USO GERAL 400ML / BRANCO BRILHO 50533;002482;DSCOLOR;;27;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
SUV RENDE & COBRE MUITO BRANCO 20 LTS;001585;Suvinil;TINTA ACRILICA;23;BD;Ativo;32091010;NÃO TRIBUTADO (CSOSN 400)
XADREZ  VIOLETA  50ML ;001280;Sherwin Williams;Utilidades;23;QT;Ativo;32099019;NÃO TRIBUTADO (CSOSN 400)
DISCO DE LIXA GIRAFA 220 MASSA  A257  225X0X8 CX C/10;002746;Norton;LIXAS;20;UN;Ativo;68052000;NÃO TRIBUTADO (CSOSN 400)
"DISCO LIXA VELCRO 5"" - GRAO 024 - 8 FUROS -  THOMPSON";002744;THOMPSON;LIXAS;20;UN;Ativo;68053020;NÃO TRIBUTADO (CSOSN 400)
"DISCO LIXA VELCRO 5"" - GRAO 060 - 8 FUROS -  THOMPSON";002741;THOMPSON;LIXAS;20;UN;Ativo;68053020;NÃO TRIBUTADO (CSOSN 400)
"DISCO LIXA VELCRO 5"" - GRAO 100 - 8 FUROS -  THOMPSON";002739;THOMPSON;LIXAS;20;UN;Ativo;68053020;
"DISCO LIXA VELCRO 5"" - GRAO 120 - 8 FUROS -  THOMPSON";002738;THOMPSON;LIXAS;20;UN;Ativo;68053020;NÃO TRIBUTADO (CSOSN 400)
"DISCO LIXA VELCRO 5"" - GRAO 150 - 8 FUROS -  THOMPSON";002737;THOMPSON;LIXAS;20;UN;Ativo;68053020;NÃO TRIBUTADO (CSOSN 400)
"DISCO LIXA VELCRO 5"" - GRAO 180 - 8 FUROS -  THOMPSON";002736;THOMPSON;LIXAS;20;UN;Ativo;68053020;NÃO TRIBUTADO (CSOSN 400)
MASSA CORRIDA PVA 25 KG SUVINIL.;002500;;;20;LA;Ativo;32141020;
"TIGRE TRINCHA 573 1 1/2"" PC 18.50.825";002669;TIGRE;;20;UN;Ativo;96034090;NÃO TRIBUTADO (CSOSN 400)
"DISCO LIXA VELCRO 7"" - GRAO 180 - 8 FUROS -  THOMPSON";002735;THOMPSON;LIXAS;19;UN;Ativo;68053020;NÃO TRIBUTADO (CSOSN 400)
FUTURA MASSA ACRILICA 1/4 QT / 1,5 KG;001427;FUTURA;Complementos e Preparação;19;QT;Ativo;32141020;TRIBUTADO (CSOSN 102)
SPRAY DSCOLOR USO GERAL 400ML / VERMELHO FOSCO 50547;002478;DSCOLOR;;19;UN;Ativo;32082011;NÃO TRIBUTADO (CSOSN 400)
