   ;Produto;Código;Cód Barras;Situação;Preço de Venda; 
;ABRE TRINCA ATLAS;000299;SEM GTIN;Ativo;1,0000; por UN
;ADELBRAS FITA CREPE AUTO AMARELA 765 48MM X 40M 15.33.017;002752;7896603804915;Ativo;22,9900; por UN
;ADELBRAS FITA CREPE AZUL 722 48 X 50 M;001566;7896603804250;Ativo;41,9900; por UN
;ADELBRAS FITA CREPE MASK 18 X 50 M;001904;7896603846267;Ativo;5,9900; por UN
;ADELBRAS FITA CREPE MASK 24 X 50 M;000687;7896603802515;Ativo;7,9900; por UN
;ADELBRAS FITA CREPE MASK 48 X 50 M;001298;7896603879067;Ativo;16,4000; por UN
;ADELBRAS FITA SILVER TAPE PRATA 48 X 10 M;001884;7896603899911;Ativo;26,7800; por UN
;ADELBRAS FITA SILVER TAPE PRETA 48 X 10 M;001885;7896603850233;Ativo;26,9900; por UN
;ADESIVO REFORCADO P/ LAMINACAO 800G - MAXIRUBBER ( NOVO );001289;7898031548805;Ativo;45,3200; por QT
;ANJO AGUARRAS MINERAL 450 ML;001759;7898530461186;Ativo;13,5900; por UN
;ANJO AGUARRAS MINERAL 5 L;001761;7898025460373;Ativo;95,6900; por UN
;ANJO AGUARRAS MINERAL 900 ML;001760;7898025460366;Ativo;20,0000; por UN
;ANJO DILUENTE P/ SELA MADEIRAS 5 LTS;001590;7899917155780;Ativo;260,9900; por UN
;ANJO DILUENTE P/ SELA MADEIRAS 900 ML;001589;7899917155742;Ativo;54,9900; por UN
;ANJO DILUENTE P/ VERNIZES AMAZONIA 5 LTS;001592;7899917155711;Ativo;107,7900; por UN
;ANJO DILUENTE P/ VERNIZES AMAZONIA 900 ML;001591;7899917155698;Ativo;21,3000; por UN
;ANJO MAIS ACR. PRE. BRANCO FOSCA 18 LT;001686;7898530467539;Ativo;429,9900; por LA
;ANJO MAIS ACR. PRE. BRANCO FOSCA 3,6 LT;001687;7898530467515;Ativo;164,9900; por GL
;ANJO PINTA DECK NAT. SEMIBRILHO 900 ML;001604;7899917156107;Ativo;59,9900; por QT
;ANJO PINTA DECK NATURAL SEMIBRILHO 3,6 LTS;001616;7899917153410;Ativo;226,4900; por GL
;ANJO SPRAY METALICA ALUMINIO PARA RODAS 400 ML;002040;7899917152192;Ativo;20,0000; por UN
;ANJO SPRAY USO GERAL AMARELO 400 ML;002045;7899917152215;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL AZUL CLARO 400 ML;002046;7899917152239;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL AZUL ESCURO 400 ML;002047;7899917152253;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL BRANCO BRTE 400 ML;002048;7899917152352;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL BRANCO FSC 400 ML;002049;7899917152437;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL CINZA CLARO 400 ML;002050;7899917152451;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL CINZA ESCURO 400 ML;002051;7899917152475;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL FUNDO BRANCO PRIMER 400 ML;002062;7899917152697;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL FUNDO PREP. CINZA 400 ML;002052;7899917152277;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL GRAFITE 400 ML;002053;7899917152499;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL LARANJA 400 ML;002054;7899917152819;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL MARROM 400 ML;002055;7899917152512;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL PRETO BRILHANTE 400 ML;002071;7899917152291;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL PRETO FSC 400 ML;002056;7899917152536;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL PRETO SEMI BRILHO 400 ML;002057;7899917152314;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL ROSA 400 ML;002058;7899917152338;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL VERDE ESCURO 400 ML;002059;7899917152833;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL VERMELHO BR 400 ML;002060;7899917152376;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL VERMELHO FSC 400ML;002063;7899917152857;Ativo;22,0000; por UN
;ANJO SPRAY USO GERAL VERNIZ 400 ML;002061;7899917152550;Ativo;22,0000; por UN
;ANJO STAIN CASA IMBUIA ACET. 3,6 L;001615;7899917153359;Ativo;191,9900; por GL
;ANJO STAIN CASA IMBUIA ACET. 900 ML;001606;7899917156015;Ativo;53,9900; por QT
;ANJO STAIN CASA INCOLOR ACET. 3,6 L;001613;7899917153335;Ativo;143,6900; por GL
;ANJO STAIN CASA INCOLOR ACET. 900 ML;001608;7899917155988;Ativo;44,6900; por QT
;ANJO STAIN CASA IPE ACET. 3,6L;001614;7899917156565;Ativo;191,9900; por GL
;ANJO STAIN CASA IPE ACET. 900ML;001609;7899917156541;Ativo;53,0000; por QT
;ANJO STAIN CASA MOGNO ACET. 3,6 LTS;001611;7899917153373;Ativo;176,3900; por GL
;ANJO STAIN CASA MOGNO ACET. 900 ML;001607;7899917156046;Ativo;53,0900; por QT
;ANJO STAIN CASA NATURAL ACET. 3,6 L;001618;7899917153397;Ativo;155,9500; por GL
;ANJO STAIN CASA NATURAL ACET. 900 ML;001610;7899917156077;Ativo;44,6900; por QT
;ANJO STAIN CASA NOGUEIRA ACET. 3,6L;001612;7899917156510;Ativo;176,6900; por GL
;ANJO STAIN CASA NOGUEIRA ACET. 900ML;001605;7899917156497;Ativo;53,0000; por QT
;ANJO THINNER PU CARBON BAIXA TEMPERATURA TH5002 900 ML;002069;7899917125981;Ativo;44,4900; por UN
;ANJO THINNER PU 5000 5 L;001757;7898025460298;Ativo;159,9000; por UN
;ANJO THINNER PU 5000 900 ML;001756;7898025465392;Ativo;32,9200; por UN
;ANJO THINNER TH007 5L;001753;7899917147631;Ativo;81,3500; por UN
;ANJO THINNER TH007 900ML;001752;7899917147594;Ativo;17,6500; por UN
;ANJO THINNER 2750 18 LTS;001819;7898025460069;Ativo;328,1400; por UN
;ANJO THINNER 2750 5 L;001755;7898025460052;Ativo;94,8900; por UN
;ANJO THINNER 2750 900 ML;001754;7898025464180;Ativo;19,7500; por UN
;ANJO THINNER 2900 900 ML;001758;7898025464203;Ativo;21,8000; por UN
;ANJO VERNIZ DURA MAIS NAT. ACET. 3,6 LTS;001596;7899917153434;Ativo;137,5900; por GL
;ANJO VERNIZ DURA MAIS NAT. ACET. 900 ML;001594;7899917155896;Ativo;51,4000; por QT
;ANJO VERNIZ DURA MAIS NAT. BRIL. 3,6 LTS;001595;7899917153311;Ativo;125,0000; por GL
;ANJO VERNIZ DURA MAIS NAT. BRIL. 900 ML;001593;7899917155865;Ativo;40,4900; por QT
;ANJO VERNIZ MARITIMO PREMIUM NAT. ACET. 3,6 LTS;001601;7899917153458;Ativo;133,2000; por GL
;ANJO VERNIZ MARITIMO PREMIUM NAT. ACET. 900 ML;001598;7899917155926;Ativo;45,1900; por QT
;ANJO VERNIZ MARITIMO PREMIUM NAT. BRIL. 3,6 L;001603;7899917155667;Ativo;133,2000; por GL
;ANJO VERNIZ MARITIMO PREMIUM NAT. BRIL. 900 ML;001599;7899917155643;Ativo;35,3900; por QT
;ANJO VERNIZ MARITIMO PREMIUM NAT. FOSCO 3,6 LTS;001602;7899917153472;Ativo;130,0000; por GL
;ANJO VERNIZ MARITIMO PREMIUM NAT. FOSCO 900 ML;001597;7899917155957;Ativo;43,0000; por QT
;APLICADOR DE SILICONE / PU;000832;7895315000202;Ativo;29,0000; por UN
;APLICADOR DE SILICONE BRASF REFORC 7309;001035;7898464735629;Ativo;46,9000; por UN
;APLICADOR DE SILICONE BRASF TUBULAR 7310;001036;7898464735636;Ativo;78,9000; por UN
;ATLAS ABRACADEIRA PLAST PR 280X3,6MM PCT 100UN;001534;7896380108497;Ativo;2,0000; por UN
;ATLAS ABRE TRINCA 375;000161;7896380101481;Ativo;40,6900; por UN
;ATLAS ANTIGOTA KIT 6 PECAS AT1017;000175;7896380154401;Ativo;82,6500; por UN
;ATLAS APLICADOR DE SILICONE 177;000124;7896380101443;Ativo;44,8500; por UN
;ATLAS APLICADOR 4,5CM REF 152/1;000185;SEM GTIN;Ativo;1,0000; por UN
;ATLAS BALDE MULTIUSO PLAST PRETO 608P;001868;7896380192526;Ativo;27,8900; por UN
;ATLAS BANDEJA P/ GARFO DUPLO PROFISSIONAL 4,3L REF: AT1492P;001456;7896380109593;Ativo;67,3100; por UN
;ATLAS BANDEJA P/ PINTURA PT 3,6 L 1534P;001870;7896380192694;Ativo;30,4900; por UN
;ATLAS BANDEJA P/ PINTURA PVC 1,3L 1415;001455;7896380194889;Ativo;13,1600; por UN
;ATLAS BANDEJA P/ PINTURA PVC 2,7L 1523P;001354;7896380192625;Ativo;18,8000; por UN
;ATLAS BANQUETA ESCADA 47,4X45X49,7CM PLAST CZ PR1041-1;001864;7896003811407;Ativo;97,3600; por UN
;ATLAS BROXA RETANGULAR 15X5.6CM 800/1;000155;7896380131068;Ativo;2,0000; por UN
;ATLAS BROXA RETANGULAR 18X8CM 800/2;000156;7896380131075;Ativo;13,6500; por UN
;ATLAS CACAMBA DE PLA P/ MAO 2L REF:1420P;001834;7896003894677;Ativo;35,4700; por UN
;ATLAS CACAMBA P/ PINTURA PRETA PVC 10L 610P;001454;7896380192557;Ativo;41,7700; por UN
;ATLAS CACAMBA P/ PINTURA 12L REF: AT612P;001631;7896380103249;Ativo;55,1800; por UN
