 ;Produto;Código;Unidade;NCM;"&nbsp;";Categoria;Família;Fabricante;Part Number;CEST;Código de Barras;Classe Tributacao
2052003;ABRE TRINCA ATLAS;000299;UN;82055900;;GERAL;Acessórios e Ferramentas;ATLAS;;;SEM GTIN;NÃO TRIBUTADO (CSOSN 400)
2109505;ADELBRAS FITA CREPE AUTO AMARELA 765 48MM X 40M 15.33.017;002752;UN;48114110;;LIXA;LIXAS;Adelbras;;;7896603804915;NÃO TRIBUTADO (CSOSN 400)
2053270;ADELBRAS FITA CREPE AZUL 722 48 X 50 M;001566;UN;48114110;;FITA;;;;;7896603804250;TRIBUTADO (CSOSN 102)
2053608;ADELBRAS FITA CREPE MASK 18 X 50 M;001904;UN;48114110;;FITA;Acessórios e Ferramentas;ADELBRAS;;;7896603846267;TRIBUTADO (CSOSN 102)
2052391;ADELBRAS FITA CREPE MASK 24 X 50 M;000687;UN;48114110;;FITA;;;;;7896603802515;NÃO TRIBUTADO (CSOSN 400)
2053002;ADELBRAS FITA CREPE MASK 48 X 50 M;001298;UN;48114190;;FITA;;;;;7896603879067;TRIBUTADO (CSOSN 102)
2053588;ADELBRAS FITA SILVER TAPE PRATA 48 X 10 M;001884;UN;59061000;;FITA;;;;;7896603899911;TRIBUTADO (CSOSN 102)
2053589;ADELBRAS FITA SILVER TAPE PRETA 48 X 10 M;001885;UN;59061000;;FITA;;;;;7896603850233;TRIBUTADO (CSOSN 102)
2052993;ADESIVO REFORCADO P/ LAMINACAO 800G - MAXIRUBBER ( NOVO );001289;QT;35061090;;COMPLEMENTO;Utilidades;Maxi Rubber;;;7898031548805;TRIBUTADO (CSOSN 102)
2101516;AFFATON - AMARELO B1 (FR);002722;UN;32041700;;CORANTE;Utilidades;Coral;;2400300;7898913643284;NÃO TRIBUTADO (CSOSN 400)
2101514;AFFATON - AMARELO C2 (FR);002720;UN;32041700;;CORANTE;Utilidades;Coral;;2400300;7898913643666;NÃO TRIBUTADO (CSOSN 400)
2101517;AFFATON - AMARELO OXIDO T11 (FR);002723;UN;32064990;;CORANTE;Utilidades;Coral;;2400300;7898913643628;NÃO TRIBUTADO (CSOSN 400)
